Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho;;;;;
OMP;2;2048;1,974696;0,081975;2,056692;;;;;;;;;;
OMP;2;2048;1,965482;0,083414;2,04892;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;4096;7,895774;0,372129;8,267921;7,880161;;;;;;;;;
OMP;2;4096;7,856583;0,346047;8,20265;;;;;;;;;;
OMP;2;4096;7,895892;0,347699;8,243608;;;;;;;;;;
OMP;2;4096;7,896611;0,357902;8,254537;;;;;;;;;;
OMP;2;4096;7,865204;0,399444;8,264668;;;;;;;;;;
OMP;2;4096;7,886855;0,349349;8,236226;;;;;;;;;;
OMP;2;4096;7,880078;0,357151;8,237251;;;;;;;;;;
OMP;2;4096;7,892657;0,355323;8,248003;;;;;;;;;;
OMP;2;4096;7,858289;0,346097;8,204405;;;;;;;;;;
OMP;2;4096;7,873664;0,344487;8,218173;;;;;;;;;;
;;;\;\;\;;;;;;;;;;
OMP;2;8192;31,383588;1,440005;32,823615;31,477514;;;;;;;;;
OMP;2;8192;31,549277;1,428262;32,97756;;;;;;;;;;
OMP;2;8192;31,462197;1,464637;32,926858;;;;;;;;;;
OMP;2;8192;31,479696;1,461581;32,941297;;;;;;;;;;
OMP;2;8192;31,553823;1,478767;33,032613;;;;;;;;;;
OMP;2;8192;31,481414;1,508664;32,9901;;;;;;;;;;
OMP;2;8192;31,499609;1,42522;32,92485;;;;;;;;;;
OMP;2;8192;31,475614;1,485187;32,96082;;;;;;;;;;
OMP;2;8192;31,459506;1,499798;32,959322;;;;;;;;;;
OMP;2;8192;31,430415;1,466478;32,896917;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;16;0,000224;0,000044;0,000273;0,000171;#DIV/0!;;#DIV/0!;;;;;;
OMP;4;16;0,000223;0,00007;0,000304;;;;;;;;;;
OMP;4;16;0,000187;0,000068;0,000265;;;;;;;;;;
OMP;4;16;0,000146;0,000037;0,000189;;;;;;;;;;
OMP;4;16;0,00014;0,000038;0,000184;;;;;;;;;;
OMP;4;16;0,000145;0,000038;0,000188;;;;;;;;;;
OMP;4;16;0,000163;0,000041;0,00021;;;;;;;;;;
OMP;4;16;0,000199;0,000062;0,00027;;;;;;;;;;
OMP;4;16;0,000144;0,000037;0,000187;;;;;;;;;;
OMP;4;16;0,000141;0,000037;0,000184;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;32;0,000438;0,000054;0,000499;0,000381;;;;;;;;;
OMP;4;32;0,000586;0,000084;0,00068;;;;;;;;;;
OMP;4;32;0,000333;0,00005;0,000388;;;;;;;;;;
OMP;4;32;0,000335;0,00005;0,000391;;;;;;;;;;
OMP;4;32;0,000333;0,000051;0,00039;;;;;;;;;;
OMP;4;32;0,000434;0,00005;0,00049;;;;;;;;;;
OMP;4;32;0,000333;0,00005;0,000389;;;;;;;;;;
OMP;4;32;0,000336;0,000051;0,000392;;;;;;;;;;
OMP;4;32;0,000339;0,000052;0,000397;;;;;;;;;;
OMP;4;32;0,000341;0,000051;0,000399;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;64;0,001182;0,000112;0,0013;0,001399;;;;;;;;;
OMP;4;64;0,001489;0,000113;0,001609;;;;;;;;;;
OMP;4;64;0,002061;0,000119;0,002186;;;;;;;;;;
OMP;4;64;0,001202;0,000113;0,001321;;;;;;;;;;
OMP;4;64;0,001198;0,000113;0,001318;;;;;;;;;;
OMP;4;64;0,001215;0,000115;0,001334;;;;;;;;;;
OMP;4;64;0,002073;0,000202;0,002285;;;;;;;;;;
OMP;4;64;0,001181;0,000111;0,001297;;;;;;;;;;
OMP;4;64;0,001181;0,000113;0,0013;;;;;;;;;;
OMP;4;64;0,001209;0,000117;0,001332;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;128;0,004703;0,000338;0,005048;0,004846;;;;;;;;;
OMP;4;128;0,004628;0,00034;0,004975;;;;;;;;;;
OMP;4;128;0,004654;0,000349;0,005009;;;;;;;;;;
OMP;4;128;0,006218;0,000349;0,006574;;;;;;;;;;
OMP;4;128;0,004639;0,000344;0,004989;;;;;;;;;;
OMP;4;128;0,005036;0,000352;0,005396;;;;;;;;;;
OMP;4;128;0,004642;0,000347;0,004994;;;;;;;;;;
OMP;4;128;0,004662;0,000349;0,005018;;;;;;;;;;
OMP;4;128;0,004635;0,000348;0,004989;;;;;;;;;;
OMP;4;128;0,004647;0,000347;0,005001;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;256;0,01849;0,001298;0,019795;0,019425;;;;;;;;;
OMP;4;256;0,024265;0,0013;0,025574;;;;;;;;;;
OMP;4;256;0,018247;0,001275;0,019529;;;;;;;;;;
OMP;4;256;0,020928;0,001293;0,022228;;;;;;;;;;
OMP;4;256;0,018416;0,001283;0,019709;;;;;;;;;;
OMP;4;256;0,018478;0,001305;0,019791;;;;;;;;;;
OMP;4;256;0,018473;0,001304;0,019785;;;;;;;;;;
OMP;4;256;0,01952;0,001296;0,020826;;;;;;;;;;
OMP;4;256;0,018517;0,001293;0,019817;;;;;;;;;;
OMP;4;256;0,018916;0,001299;0,020223;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;512;0,077398;0,00386;0,081272;0,074919;;;;;;;;;
OMP;4;512;0,076679;0,003867;0,080563;;;;;;;;;;
OMP;4;512;0,073982;0,005003;0,078999;;;;;;;;;;
OMP;4;512;0,07408;0,005061;0,079154;;;;;;;;;;
OMP;4;512;0,073447;0,004967;0,078427;;;;;;;;;;
OMP;4;512;0,074793;0,003854;0,078664;;;;;;;;;;
OMP;4;512;0,073511;0,004989;0,078515;;;;;;;;;;
OMP;4;512;0,075379;0,005052;0,080447;;;;;;;;;;
OMP;4;512;0,07817;0,00392;0,082104;;;;;;;;;;
OMP;4;512;0,071753;0,006196;0,077962;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;1024;0,288254;0,015495;0,303768;0,288205;;;;;;;;;
OMP;4;1024;0,287672;0,024309;0,312001;;;;;;;;;;
OMP;4;1024;0,287221;0,015504;0,302742;;;;;;;;;;
OMP;4;1024;0,287672;0,016463;0,304155;;;;;;;;;;
OMP;4;1024;0,290519;0,016356;0,306893;;;;;;;;;;
OMP;4;1024;0,287462;0,017288;0,304768;;;;;;;;;;
OMP;4;1024;0,288261;0,015481;0,303761;;;;;;;;;;
OMP;4;1024;0,289958;0,015448;0,305424;;;;;;;;;;
OMP;4;1024;0,288146;0,015501;0,303666;;;;;;;;;;
OMP;4;1024;0,286887;0,015428;0,302335;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;2048;1.158.078;0,08653;1.244.629;#DIV/0!;;;;;;;;;
OMP;4;2048;1.162.466;0,084705;1.247.196;;;;;;;;;;
OMP;4;2048;1.157.457;0,088582;1.246.056;;;;;;;;;;
OMP;4;2048;1.162.179;0,086478;1.248.676;;;;;;;;;;
OMP;4;2048;1.165.748;0,082622;1.248.392;;;;;;;;;;
OMP;4;2048;1.164.360;0,097602;1.261.985;;;;;;;;;;
OMP;4;2048;1.155.001;0,079516;1.234.539;;;;;;;;;;
OMP;4;2048;1.159.296;0,082814;1.242.133;;;;;;;;;;
OMP;4;2048;1.152.469;0,082694;1.235.188;;;;;;;;;;
OMP;4;2048;1.160.271;0,083548;1.243.842;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;4096;4.618.747;0,374649;4.993.415;#DIV/0!;;;;;;;;;
OMP;4;4096;4.602.943;0,340618;4.943.587;;;;;;;;;;
OMP;4;4096;4.596.399;0,369272;4.965.690;;;;;;;;;;
OMP;4;4096;4.608.913;0,33279;4.941.723;;;;;;;;;;
OMP;4;4096;4.592.509;0,341469;4.934.002;;;;;;;;;;
OMP;4;4096;4.598.933;4.295.106;8.894.059;;;;;;;;;;
