Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
omp;2;4096;1.334.874;3.700.378;5.035.273;;;;;
omp;2;4096;1.350.553;0,342836;1.693.406;;;;;
omp;2;4096;1.337.306;0,339482;1.676.804;;;;;
omp;2;4096;1.350.121;2.367.314;3.717.457;;;;;
omp;2;4096;1.350.828;0,347547;1.698.394;;;;;
omp;2;4096;1.341.478;0,363911;1.705.409;;;;;
\n;;;;;;;;;;
omp;2;8192;5.348.810;1.503.951;6.852.781;#DIV/0!;;;;
omp;2;8192;5.337.361;1.450.766;6.788.146;;;;;
omp;2;8192;5.342.042;1.480.208;6.822.273;;;;;
omp;2;8192;5.352.640;1.481.143;6.833.800;;;;;
omp;2;8192;5.377.878;1.421.506;6.799.406;;;;;
omp;2;8192;5.345.370;1.449.939;6.795.328;;;;;
omp;2;8192;5.352.234;1.433.621;6.785.877;;;;;
omp;2;8192;5.336.046;1.455.724;6.791.793;;;;;
omp;2;8192;5.346.305;1.462.824;6.809.151;;;;;
omp;2;8192;5.327.082;1.455.633;6.782.737;;;;;
\n;;;;;;;;;;
omp;4;16;0,000172;0,016811;0,017003;0,000113;#DIV/0!;;#DIV/0!;
omp;4;16;0,000147;0,000070;0,000229;;;;;
omp;4;16;0,000113;0,000072;0,000196;;;;;
omp;4;16;0,000124;0,000065;0,000198;;;;;
omp;4;16;0,000095;0,000038;0,000139;;;;;
omp;4;16;0,000097;0,000037;0,000139;;;;;
omp;4;16;0,000077;0,000037;0,000119;;;;;
omp;4;16;0,000097;0,000062;0,000169;;;;;
omp;4;16;0,000105;0,000039;0,000148;;;;;
omp;4;16;0,000098;0,000037;0,000140;;;;;
\n;;;;;;;;;;
omp;4;32;0,000206;0,000051;0,000262;0,000163;;;;
omp;4;32;0,000234;0,000084;0,000326;;;;;
omp;4;32;0,000207;0,000050;0,000262;;;;;
omp;4;32;0,000142;0,000050;0,000198;;;;;
omp;4;32;0,000145;0,000049;0,000200;;;;;
omp;4;32;0,000137;0,000051;0,000194;;;;;
omp;4;32;0,000139;0,000051;0,000195;;;;;
omp;4;32;0,000136;0,000050;0,000191;;;;;
omp;4;32;0,000144;0,000055;0,000204;;;;;
omp;4;32;0,000140;0,000051;0,000196;;;;;
\n;;;;;;;;;;
omp;4;64;0,000382;0,000113;0,000501;0,000439;;;;
omp;4;64;0,000617;0,000114;0,000737;;;;;
omp;4;64;0,000382;0,000112;0,000500;;;;;
omp;4;64;0,000383;0,000114;0,000503;;;;;
omp;4;64;0,000377;0,000112;0,000494;;;;;
omp;4;64;0,000372;0,000113;0,000491;;;;;
omp;4;64;0,000385;0,000112;0,000504;;;;;
omp;4;64;0,000491;0,000112;0,000608;;;;;
omp;4;64;0,000371;0,000110;0,000486;;;;;
omp;4;64;0,000633;0,000111;0,000749;;;;;
\n;;;;;;;;;;
omp;4;128;0,001267;0,000339;0,001611;0,001374;;;;
omp;4;128;0,001260;0,000342;0,001608;;;;;
omp;4;128;0,001333;0,000350;0,001690;;;;;
omp;4;128;0,001262;0,000345;0,001613;;;;;
omp;4;128;0,001304;0,000341;0,001651;;;;;
omp;4;128;0,002034;0,000346;0,002386;;;;;
omp;4;128;0,001277;0,000350;0,001634;;;;;
omp;4;128;0,001333;0,000344;0,001683;;;;;
omp;4;128;0,001273;0,000392;0,001671;;;;;
omp;4;128;0,001400;0,000388;0,001794;;;;;
\n;;;;;;;;;;
omp;4;256;0,004907;0,001278;0,006192;0,006008;;;;
omp;4;256;0,004858;0,001279;0,006144;;;;;
omp;4;256;0,004798;0,001266;0,006071;;;;;
omp;4;256;0,009517;0,001304;0,010829;;;;;
omp;4;256;0,005107;0,001283;0,006397;;;;;
omp;4;256;0,005083;0,001307;0,006396;;;;;
omp;4;256;0,004922;0,002195;0,007128;;;;;
omp;4;256;0,008595;0,001272;0,009874;;;;;
omp;4;256;0,007344;0,001280;0,008632;;;;;
omp;4;256;0,004953;0,001279;0,006239;;;;;
\n;;;;;;;;;;
omp;4;512;0,020686;0,005003;0,025700;0,020883;;;;
omp;4;512;0,018897;0,008067;0,026979;;;;;
omp;4;512;0,018968;0,007958;0,026942;;;;;
omp;4;512;0,020655;0,010074;0,030744;;;;;
omp;4;512;0,023044;0,004988;0,028047;;;;;
omp;4;512;0,019011;0,009079;0,028106;;;;;
omp;4;512;0,020247;0,006015;0,026276;;;;;
omp;4;512;0,022878;0,008538;0,031431;;;;;
omp;4;512;0,020349;0,007724;0,028089;;;;;
omp;4;512;0,024099;0,008542;0,032657;;;;;
\n;;;;;;;;;;
omp;4;1024;0,076933;0,020989;0,097939;0,079899;;;;
omp;4;1024;0,084072;0,030323;0,114413;;;;;
omp;4;1024;0,079774;0,016745;0,096537;;;;;
omp;4;1024;0,078806;0,026203;0,105027;;;;;
omp;4;1024;0,080482;0,022172;0,102672;;;;;
omp;4;1024;0,078772;0,022361;0,101152;;;;;
omp;4;1024;0,080401;0,016656;0,097077;;;;;
omp;4;1024;0,080822;0,018467;0,099305;;;;;
omp;4;1024;0,079526;0,020858;0,100402;;;;;
omp;4;1024;0,079398;0,021508;0,100927;;;;;
\n;;;;;;;;;;
omp;4;2048;0,318412;0,075437;0,393870;0,311472;;;;
omp;4;2048;0,304580;0,079060;0,383658;;;;;
omp;4;2048;0,309538;0,083507;0,393066;;;;;
omp;4;2048;0,315756;0,074756;0,390534;;;;;
omp;4;2048;0,307843;0,086363;0,394227;;;;;
omp;4;2048;0,309098;0,081817;0,390938;;;;;
omp;4;2048;0,315609;0,084284;0,399918;;;;;
omp;4;2048;0,309841;0,090065;0,399925;;;;;
omp;4;2048;0,310680;0,082999;0,393697;;;;;
omp;4;2048;0,313364;0,079381;0,392765;;;;;
\n;;;;;;;;;;
omp;4;4096;1.209.516;0,369195;1.578.731;#DIV/0!;;;;
omp;4;4096;1.216.545;0,376660;1.593.226;;;;;
omp;4;4096;1.243.334;0,387824;1.631.175;;;;;
omp;4;4096;1.216.229;0,354875;1.571.122;;;;;
omp;4;4096;1.209.810;0,357097;1.566.928;;;;;
omp;4;4096;1.210.111;0,354450;1.564.581;;;;;
omp;4;4096;1.209.030;0,335816;1.544.869;;;;;
omp;4;4096;1.210.030;0,341786;1.551.837;;;;;
omp;4;4096;1.242.260;0,395038;1.637.314;;;;;
omp;4;4096;1.201.555;0,357051;1.558.625;;;;;
\n;;;;;;;;;;
omp;4;8192;4.831.062;1.451.505;6.282.586;#DIV/0!;;;;
omp;4;8192;4.800.742;1.441.431;6.242.194;;;;;
omp;4;8192;4.840.179;1.450.163;6.290.362;;;;;
omp;4;8192;4.807.395;1.425.959;6.233.371;;;;;
omp;4;8192;4.823.078;1.454.681;6.277.780;;;;;
omp;4;8192;4.833.455;4.318.265;9.151.739;;;;;
omp;4;8192;4.822.187;1.432.346;6.254.551;;;;;
omp;4;8192;4.859.187;1.461.264;6.320.474;;;;;
omp;4;8192;4.884.789;4.218.326;9.103.134;;;;;
omp;4;8192;4.835.929;1.457.248;6.293.201;;;;;
\n;;;;;;;;;;
omp;8;16;0,003307;0,014334;0,017661;0,003930;#DIV/0!;;#DIV/0!;
omp;8;16;0,009360;0,000970;0,010336;;;;;
omp;8;16;0,001849;0,000041;0,001896;;;;;
omp;8;16;0,009343;0,000970;0,010319;;;;;
omp;8;16;0,000132;0,000042;0,000180;;;;;
omp;8;16;0,008083;0,000064;0,008154;;;;;
omp;8;16;0,002220;0,000050;0,002275;;;;;
omp;8;16;0,000127;0,000042;0,000175;;;;;
omp;8;16;0,004757;0,000047;0,004811;;;;;
omp;8;16;0,000117;0,000042;0,000165;;;;;
\n;;;;;;;;;;
omp;8;32;0,004020;0,000070;0,004095;0,003190;;;;
omp;8;32;0,004824;0,000068;0,004898;;;;;
omp;8;32;0,000176;0,000056;0,000238;;;;;
omp;8;32;0,004796;0,000063;0,004864;;;;;
omp;8;32;0,005150;0,000066;0,005222;;;;;
omp;8;32;0,000173;0,000056;0,000235;;;;;
omp;8;32;0,000535;0,000061;0,000602;;;;;
omp;8;32;0,009414;0,000870;0,010338;;;;;
omp;8;32;0,002635;0,000075;0,002715;;;;;
omp;8;32;0,000176;0,000064;0,000245;;;;;
\n;;;;;;;;;;
omp;8;64;0,006956;0,000123;0,007085;0,003177;;;;
omp;8;64;0,000737;0,000142;0,000884;;;;;
omp;8;64;0,000351;0,002346;0,002704;;;;;
omp;8;64;0,000354;0,000137;0,000497;;;;;
omp;8;64;0,000352;0,000134;0,000491;;;;;
omp;8;64;0,004954;0,000127;0,005086;;;;;
omp;8;64;0,009549;0,000143;0,009698;;;;;
omp;8;64;0,005004;0,000120;0,005130;;;;;
omp;8;64;0,000348;0,002370;0,002724;;;;;
omp;8;64;0,003169;0,000147;0,003322;;;;;
\n;;;;;;;;;;
omp;8;128;0,009847;0,000407;0,010261;0,005359;;;;
omp;8;128;0,009729;0,000376;0,010112;;;;;
omp;8;128;0,005752;0,000363;0,006122;;;;;
omp;8;128;0,005354;0,000366;0,005726;;;;;
omp;8;128;0,002060;0,000349;0,002415;;;;;
omp;8;128;0,002506;0,000405;0,002918;;;;;
omp;8;128;0,005784;0,000365;0,006155;;;;;
omp;8;128;0,005750;0,000389;0,006144;;;;;
omp;8;128;0,001071;0,000354;0,001431;;;;;
omp;8;128;0,005733;0,000412;0,006150;;;;;
\n;;;;;;;;;;
omp;8;256;0,009741;0,005945;0,015694;0,007667;;;;
omp;8;256;0,005943;0,001426;0,007376;;;;;
omp;8;256;0,009324;0,005154;0,014501;;;;;
omp;8;256;0,004620;0,001496;0,006124;;;;;
omp;8;256;0,007535;0,001472;0,009015;;;;;
omp;8;256;0,005773;0,001493;0,007273;;;;;
omp;8;256;0,008893;0,001457;0,010357;;;;;
omp;8;256;0,009181;0,001338;0,010526;;;;;
omp;8;256;0,011284;0,001478;0,012772;;;;;
omp;8;256;0,004378;0,001332;0,005718;;;;;
\n;;;;;;;;;;
omp;8;512;0,020849;0,007348;0,028211;0,017247;;;;
omp;8;512;0,015627;0,005662;0,021303;;;;;
omp;8;512;0,017103;0,005553;0,022670;;;;;
omp;8;512;0,015725;0,005722;0,021464;;;;;
omp;8;512;0,015680;0,005432;0,021128;;;;;
omp;8;512;0,015727;0,005761;0,021503;;;;;
omp;8;512;0,020250;0,005597;0,025863;;;;;
omp;8;512;0,016432;0,005684;0,022131;;;;;
omp;8;512;0,015922;0,005266;0,021205;;;;;
omp;8;512;0,019150;0,005228;0,024394;;;;;
\n;;;;;;;;;;
omp;8;1024;0,067920;0,021520;0,089458;0,068619;;;;
omp;8;1024;0,069032;0,018242;0,087298;;;;;
omp;8;1024;0,070454;0,021916;0,092392;;;;;
omp;8;1024;0,067443;0,025737;0,093199;;;;;
omp;8;1024;0,064403;0,017171;0,081594;;;;;
omp;8;1024;0,066432;0,023887;0,090343;;;;;
omp;8;1024;0,072271;0,017097;0,089384;;;;;
omp;8;1024;0,068993;0,020552;0,089563;;;;;
omp;8;1024;0,070031;0,021175;0,091224;;;;;
omp;8;1024;0,069208;0,021450;0,090679;;;;;
\n;;;;;;;;;;
omp;8;2048;0,263810;0,101802;0,365633;0,260726;;;;
omp;8;2048;0,264455;0,077876;0,342356;;;;;
omp;8;2048;0,261041;0,086191;0,347254;;;;;
omp;8;2048;0,261851;0,081571;0,343441;;;;;
omp;8;2048;0,253316;0,079142;0,332481;;;;;
omp;8;2048;0,253500;0,081258;0,334778;;;;;
omp;8;2048;0,256342;0,080945;0,337307;;;;;
omp;8;2048;0,261259;0,084625;0,345906;;;;;
omp;8;2048;0,263529;0,082280;0,345828;;;;;
omp;8;2048;0,268157;0,080691;0,348871;;;;;
\n;;;;;;;;;;
omp;8;4096;1.006.398;2.635.563;3.642.001;0,995221;;;;
omp;8;4096;1.009.541;0,354467;1.364.028;;;;;
omp;8;4096;0,994744;0,320668;1.315.432;;;;;
omp;8;4096;1.006.093;3.824.082;4.830.198;;;;;
omp;8;4096;1.000.617;0,384320;1.384.958;;;;;
omp;8;4096;1.001.265;0,368630;1.369.917;;;;;
omp;8;4096;1.018.867;2.605.421;3.624.310;;;;;
omp;8;4096;1.010.575;0,368785;1.379.384;;;;;
omp;8;4096;0,993578;0,382567;1.376.168;;;;;
omp;8;4096;0,997342;0,347224;1.344.586;;;;;
\n;;;;;;;;;;
omp;8;8192;3.953.828;1.537.347;5.491.197;#DIV/0!;;;;
omp;8;8192;3.948.633;1.487.011;5.435.664;;;;;
omp;8;8192;3.929.802;4.939.716;8.869.538;;;;;
omp;8;8192;3.916.162;1.280.500;5.196.677;;;;;
omp;8;8192;3.925.433;1.475.481;5.400.935;;;;;
omp;8;8192;3.940.450;1.496.945;5.437.415;;;;;
omp;8;8192;3.962.655;1.460.315;5.422.993;;;;;
omp;8;8192;3.960.185;1.468.309;5.428.515;;;;;
omp;8;8192;3.924.670;1.450.508;5.375.199;;;;;
omp;8;8192;3.946.344;1.382.624;5.328.987;;;;;
\n;;;;;;;;;;
omp;16;16;0,000411;0,016615;0,017053;0,000341;#DIV/0!;;#DIV/0!;
omp;16;16;0,000319;0,000042;0,000367;;;;;
omp;16;16;0,000355;0,000071;0,000434;;;;;
omp;16;16;0,000305;0,000062;0,000384;;;;;
omp;16;16;0,000373;0,000041;0,000424;;;;;
omp;16;16;0,000360;0,000061;0,000440;;;;;
omp;16;16;0,000317;0,000037;0,000359;;;;;
omp;16;16;0,000229;0,001263;0,001498;;;;;
omp;16;16;0,000320;0,000068;0,000399;;;;;
omp;16;16;0,000424;0,000059;0,000492;;;;;
\n;;;;;;;;;;
omp;16;32;0,000614;0,000056;0,000676;0,000467;;;;
omp;16;32;0,000539;0,000054;0,000598;;;;;
omp;16;32;0,000446;0,000055;0,000506;;;;;
omp;16;32;0,000561;0,000059;0,000629;;;;;
omp;16;32;0,000522;0,000088;0,000620;;;;;
omp;16;32;0,000440;0,000082;0,000533;;;;;
omp;16;32;0,000354;0,000047;0,000407;;;;;
