Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
pth;4;512;0,085494;0,003951;0,089466;;;;;
pth;4;512;0,087774;0,008302;0,096095;;;;;
pth;4;512;0,084569;0,007845;0,092436;;;;;
pth;4;512;0,081986;0,004168;0,08617;;;;;
\n;;;;;;;;;;
pth;4;1024;0,327873;0,021341;0,34923;0,3306116;;;;
pth;4;1024;0,336107;0,020731;0,356858;;;;;
pth;4;1024;0,329367;0,018693;0,34808;;;;;
pth;4;1024;0,325997;0,022488;0,348505;;;;;
pth;4;1024;0,328495;0,023079;0,351596;;;;;
pth;4;1024;0,33447;0,018916;0,353404;;;;;
pth;4;1024;0,337104;0,023274;0,360401;;;;;
pth;4;1024;0,329134;0,021861;0,351013;;;;;
pth;4;1024;0,331367;0,019458;0,350842;;;;;
pth;4;1024;0,326202;0,021511;0,347732;;;;;
\n;;;;;;;;;;
pth;4;2048;1,314175;0,086943;1,40114;1,322234;;;;
pth;4;2048;1,331609;0,10004;1,431677;;;;;
pth;4;2048;1,317108;0,091894;1,409027;;;;;
pth;4;2048;1,319466;0,745816;2,065309;;;;;
pth;4;2048;1,331703;0,081512;1,41323;;;;;
pth;4;2048;1,319366;0,088327;1,407716;;;;;
pth;4;2048;1,331526;0,083781;1,41533;;;;;
pth;4;2048;1,323398;0,084317;1,407739;;;;;
pth;4;2048;1,324529;0,082469;1,40702;;;;;
pth;4;2048;1,30946;0,086595;1,396078;;;;;
\n;;;;;;;;;;
pth;4;4096;5,237826;0,338045;5,575889;5,2523824;;;;
pth;4;4096;5,257694;0,362125;5,619841;;;;;
pth;4;4096;5,249226;0,361239;5,610486;;;;;
pth;4;4096;5,259868;0,342493;5,60238;;;;;
pth;4;4096;5,235391;0,373472;5,608881;;;;;
pth;4;4096;5,256847;0,350723;5,607594;;;;;
pth;4;4096;5,240546;0,340438;5,581006;;;;;
pth;4;4096;5,263925;0,398161;5,66211;;;;;
pth;4;4096;5,265449;0,359525;5,624999;;;;;
pth;4;4096;5,257052;0,346756;5,603834;;;;;
\n;;;;;;;;;;
pth;4;8192;20,919797;1,478661;22,398479;20,9579914;;;;
pth;4;8192;20,977712;1,446824;22,424561;;;;;
pth;4;8192;21,012496;1,404122;22,416639;;;;;
pth;4;8192;21,047247;1,477873;22,525142;;;;;
pth;4;8192;20,894486;1,469987;22,364498;;;;;
pth;4;8192;20,972578;1,441995;22,414598;;;;;
pth;4;8192;20,914019;1,42713;22,341176;;;;;
pth;4;8192;20,96692;1,46507;22,432015;;;;;
pth;4;8192;20,973828;1,470893;22,444747;;;;;
pth;4;8192;20,900831;1,473328;22,37418;;;;;
\n;;;;;;;;;;
pth;8;16;0,00029;0,000039;0,000341;0,000262;2,194855613;;3,541260414;
pth;8;16;0,000193;0,000037;0,000236;;;;;
pth;8;16;0,00025;0,000048;0,000305;;;;;
pth;8;16;0,000333;0,000045;0,00039;;;;;
pth;8;16;0,000402;0,000059;0,000472;;;;;
pth;8;16;0,000386;0,000036;0,000432;;;;;
pth;8;16;0,000199;0,000037;0,000243;;;;;
pth;8;16;0,000203;0,000036;0,000246;;;;;
pth;8;16;0,000172;0,000036;0,000216;;;;;
pth;8;16;0,000192;0,000037;0,000236;;;;;
\n;;;;;;;;;;
pth;8;32;0,000427;0,000043;0,000477;0,0006119;;;;
pth;8;32;0,000693;0,000076;0,000777;;;;;
pth;8;32;0,000936;0,000072;0,001019;;;;;
pth;8;32;0,000678;0,000063;0,000752;;;;;
pth;8;32;0,00068;0,000047;0,000737;;;;;
pth;8;32;0,000498;0,000065;0,000579;;;;;
pth;8;32;0,000654;0,000049;0,000714;;;;;
pth;8;32;0,000706;0,000049;0,000765;;;;;
pth;8;32;0,000423;0,000051;0,00048;;;;;
pth;8;32;0,000424;0,000042;0,000474;;;;;
\n;;;;;;;;;;
pth;8;64;0,001217;0,000131;0,001356;0,0014344;;;;
pth;8;64;0,001361;0,000101;0,001469;;;;;
pth;8;64;0,001391;0,000101;0,001499;;;;;
pth;8;64;0,001342;0,000101;0,001451;;;;;
pth;8;64;0,001327;0,000091;0,001424;;;;;
pth;8;64;0,001348;0,000103;0,001459;;;;;
pth;8;64;0,001363;0,000103;0,001473;;;;;
pth;8;64;0,002323;0,000134;0,002465;;;;;
pth;8;64;0,001328;0,000095;0,00143;;;;;
pth;8;64;0,001344;0,000093;0,001445;;;;;
\n;;;;;;;;;;
pth;8;128;0,005326;0,000286;0,005619;0,0048936;;;;
pth;8;128;0,003942;0,000334;0,004284;;;;;
pth;8;128;0,004889;0,000279;0,005175;;;;;
pth;8;128;0,005114;0,000281;0,005402;;;;;
pth;8;128;0,004699;0,000368;0,00508;;;;;
pth;8;128;0,004855;0,000383;0,005245;;;;;
pth;8;128;0,004723;0,000333;0,005063;;;;;
pth;8;128;0,004475;0,000277;0,004762;;;;;
pth;8;128;0,00574;0,000325;0,006073;;;;;
pth;8;128;0,005173;0,000275;0,005456;;;;;
\n;;;;;;;;;;
pth;8;256;0,015409;0,001241;0,016659;0,016515;;;;
pth;8;256;0,01905;0,001491;0,02055;;;;;
pth;8;256;0,018263;0,001301;0,019573;;;;;
pth;8;256;0,01809;0,001045;0,019144;;;;;
pth;8;256;0,010926;0,001022;0,011956;;;;;
pth;8;256;0,013828;0,001013;0,014852;;;;;
pth;8;256;0,016066;0,001158;0,017234;;;;;
pth;8;256;0,017451;0,00103;0,018491;;;;;
pth;8;256;0,019454;0,001117;0,02058;;;;;
pth;8;256;0,016613;0,001067;0,017689;;;;;
\n;;;;;;;;;;
pth;8;512;0,049304;0,004154;0,053474;0,0539324;;;;
pth;8;512;0,05138;0,00401;0,055405;;;;;
pth;8;512;0,054445;0,007682;0,062145;;;;;
pth;8;512;0,046274;0,00629;0,052579;;;;;
pth;8;512;0,055661;0,006625;0,0623;;;;;
pth;8;512;0,056873;0,003929;0,060821;;;;;
pth;8;512;0,05089;0,00457;0,055476;;;;;
pth;8;512;0,058661;0,007418;0,066103;;;;;
pth;8;512;0,052401;0,004331;0,056747;;;;;
pth;8;512;0,063435;0,00418;0,06763;;;;;
\n;;;;;;;;;;
pth;8;1024;0,194188;0,020422;0,214629;0,1947146;;;;
pth;8;1024;0,188403;0,01958;0,208004;;;;;
pth;8;1024;0,202328;0,023717;0,226062;;;;;
pth;8;1024;0,192439;0,02048;0,21294;;;;;
pth;8;1024;0,189062;0,02006;0,209153;;;;;
pth;8;1024;0,191471;0,023123;0,214617;;;;;
pth;8;1024;0,198583;0,024096;0,222697;;;;;
pth;8;1024;0,20074;0,017499;0,218257;;;;;
pth;8;1024;0,192946;0,0236;0,216564;;;;;
pth;8;1024;0,196986;0,02263;0,219634;;;;;
\n;;;;;;;;;;
pth;8;2048;0,729944;0,093769;0,823738;0,7240362;;;;
pth;8;2048;0,721836;0,087757;0,809612;;;;;
pth;8;2048;0,721125;0,085238;0,806382;;;;;
pth;8;2048;0,727357;0,085506;0,812884;;;;;
pth;8;2048;0,72107;0,102039;0,823132;;;;;
pth;8;2048;0,738531;0,084094;0,822642;;;;;
pth;8;2048;0,722063;0,082801;0,804888;;;;;
pth;8;2048;0,716155;0,084577;0,800756;;;;;
pth;8;2048;0,716218;0,082405;0,798647;;;;;
pth;8;2048;0,726063;0,08763;0,813718;;;;;
\n;;;;;;;;;;
pth;8;4096;2,956069;0,36058;3,316667;2,8966765;;;;
pth;8;4096;2,85315;0,394281;3,247449;;;;;
pth;8;4096;2,871059;0,36087;3,231952;;;;;
pth;8;4096;2,808761;0,356811;3,165594;;;;;
pth;8;4096;2,973343;0,358942;3,332309;;;;;
pth;8;4096;3,009331;0,385425;3,39478;;;;;
pth;8;4096;3,014233;0,373579;3,387833;;;;;
pth;8;4096;2,817945;0,358305;3,176273;;;;;
pth;8;4096;2,823358;0,380191;3,203571;;;;;
pth;8;4096;2,839516;0,378684;3,218222;;;;;
\n;;;;;;;;;;
pth;8;8192;11,218042;1,507398;12,725458;11,2642382;;;;
pth;8;8192;11,266373;1,461756;12,728153;;;;;
pth;8;8192;11,24914;4,211588;15,460754;;;;;
pth;8;8192;11,243812;1,47446;12,718297;;;;;
pth;8;8192;11,26793;1,432133;12,700088;;;;;
pth;8;8192;11,229834;1,494734;12,724588;;;;;
pth;8;8192;11,262411;1,454977;12,717412;;;;;
pth;8;8192;11,434664;1,472949;12,907637;;;;;
pth;8;8192;11,242623;1,450934;12,693577;;;;;
pth;8;8192;11,227553;1,446083;12,673657;;;;;
\n;;;;;;;;;;
pth;16;16;0,000391;0,000074;0,000478;0,0003428;2,093496876;;3,377724516;
pth;16;16;0,000365;0,000037;0,000413;;;;;
pth;16;16;0,00039;0,00004;0,000438;;;;;
pth;16;16;0,000277;0,000039;0,000323;;;;;
pth;16;16;0,000277;0,000062;0,000347;;;;;
pth;16;16;0,000279;0,000041;0,000328;;;;;
pth;16;16;0,000421;0,000039;0,000469;;;;;
pth;16;16;0,00034;0,000039;0,00039;;;;;
pth;16;16;0,000335;0,000061;0,000407;;;;;
pth;16;16;0,000353;0,000061;0,000426;;;;;
\n;;;;;;;;;;
pth;16;32;0,000671;0,000078;0,000761;0,000583;;;;
pth;16;32;0,000607;0,000051;0,000669;;;;;
pth;16;32;0,000488;0,000087;0,000587;;;;;
pth;16;32;0,000633;0,000049;0,00069;;;;;
pth;16;32;0,000669;0,000081;0,000758;;;;;
pth;16;32;0,000618;0,000053;0,000677;;;;;
pth;16;32;0,000487;0,000047;0,000541;;;;;
pth;16;32;0,000527;0,00005;0,000584;;;;;
pth;16;32;0,000565;0,000052;0,000624;;;;;
pth;16;32;0,000565;0,000051;0,000626;;;;;
\n;;;;;;;;;;
pth;16;64;0,001359;0,000099;0,001465;0,0012218;;;;
pth;16;64;0,001236;0,000104;0,001348;;;;;
pth;16;64;0,001282;0,000099;0,001389;;;;;
pth;16;64;0,001124;0,000103;0,001234;;;;;
pth;16;64;0,001284;0,0001;0,001392;;;;;
pth;16;64;0,001073;0,000097;0,001177;;;;;
pth;16;64;0,001102;0,000101;0,00121;;;;;
pth;16;64;0,001101;0,000098;0,001206;;;;;
pth;16;64;0,001074;0,0001;0,001181;;;;;
pth;16;64;0,001583;0,000143;0,001742;;;;;
\n;;;;;;;;;;
pth;16;128;0,003803;0,000286;0,004095;0,0042365;;;;
pth;16;128;0,004885;0,000284;0,005178;;;;;
pth;16;128;0,003786;0,00028;0,004074;;;;;
pth;16;128;0,00457;0,000418;0,004997;;;;;
pth;16;128;0,003681;0,000276;0,003964;;;;;
pth;16;128;0,004615;0,000278;0,0049;;;;;
pth;16;128;0,004792;0,00028;0,005079;;;;;
pth;16;128;0,004596;0,000281;0,004884;;;;;
pth;16;128;0,003884;0,000337;0,004228;;;;;
pth;16;128;0,003753;0,000278;0,004039;;;;;
\n;;;;;;;;;;
pth;16;256;0,01396;0,001129;0,015099;0,0145495;;;;
pth;16;256;0,013744;0,001158;0,014913;;;;;
pth;16;256;0,015529;0,001268;0,016807;;;;;
pth;16;256;0,019405;0,001147;0,020562;;;;;
pth;16;256;0,013679;0,001024;0,014713;;;;;
pth;16;256;0,013998;0,001593;0,015602;;;;;
pth;16;256;0,013367;0,001026;0,014402;;;;;
pth;16;256;0,013625;0,001027;0,014661;;;;;
pth;16;256;0,013466;0,001109;0,014585;;;;;
pth;16;256;0,014722;0,001129;0,015861;;;;;
\n;;;;;;;;;;
pth;16;512;0,049952;0,006372;0,056343;0,0498833;;;;
pth;16;512;0,054582;0,003977;0,058574;;;;;
pth;16;512;0,047941;0,004007;0,051967;;;;;
pth;16;512;0,04649;0,003998;0,050502;;;;;
pth;16;512;0,04968;0,004202;0,053896;;;;;
pth;16;512;0,051317;0,009788;0,06112;;;;;
pth;16;512;0,051169;0,007755;0,058941;;;;;
pth;16;512;0,049123;0,00455;0,053693;;;;;
pth;16;512;0,050917;0,005865;0,056798;;;;;
pth;16;512;0,047662;0,004228;0,051906;;;;;
\n;;;;;;;;;;
pth;16;1024;0,183952;0,024825;0,2088;0,1862963;;;;
pth;16;1024;0,192986;0,015666;0,208673;;;;;
pth;16;1024;0,192064;0,0215;0,213584;;;;;
pth;16;1024;0,191302;0,017372;0,208697;;;;;
pth;16;1024;0,183261;0,020927;0,204213;;;;;
pth;16;1024;0,179087;0,019489;0,198595;;;;;
pth;16;1024;0,184046;0,020466;0,204529;;;;;
pth;16;1024;0,189127;0,018796;0,207942;;;;;
